objectid,parentid,pid,title,archival_call_number,archival_collection,finding_aid_ark,physical_location,archival_series_title,folder_title,box,folder,contributing_institution,contributing_institution_valueURI,creator,personal_creator,personal_creator_valueURI,corporate_creator,corporate_creator_valueURI,interviewee,interviewee_valueURI,interviewer,interviewer_valueURI,personal_contributor,personal_contributor_valueURI,corporate_contributor,corporate_contributor_valueURI,description,table_of_contents,annotation,url,language,location,geographic_subject_fast,geographic_subject_fast_valueURI,topical_subject_fast,topical_subject_fast_valueURI,subject,topical_subject_local,topical_subject_local_valueURI,geographic_subject_lcsh,geographic_subject_lcsh_valueURI,geographic_subject_local,geographic_subject_local_valueURI,geographic_subject_geonames,geographic_subject_geonames_valueURI,coordinates,personal_name_subject,personal_name_subject_valueURI,corporate_name_subject,corporate_name_subject_valueURI,birds_subject,birds_subject_valueURI,chronological_subject,event_subject,event_subject_valueURI,extent,aat_genre,aat_genre_valueURI,dcmi_type,dcmi_type_valueURI,type_of_resource,imt_type,cco_description,rights_management,rights_management_valueURI,date,date_original,date_digital,location_interview,publisher,publisher_valueURI,ark,local_id,preservation_file_name,identifier,pdf_download,format,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,uid,avian_id,project_number,date_created,date_modified,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,hardware_software,disclaimer,image_manipulation,file_size,resolution,colorspace,bits_per_sample,samples_per_pixel,height,width,digital_origin
jacktrice_001,,JackTrice_25,"Jack Trice ""Last Letter,"" October 5, 1923",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Trice, Jack, 1902-1923","Trice, Jack, 1902-1923",,,,,,,,,,,,"Letter written October 5, 1923, by Jack Trice, football player and the first African American athlete at Iowa State, the night before playing his last football game against the University of Minnesota. Trice died on October 8 from injuries sustained in the game.",,,,eng,Minnesota--Minneapolis,Minnesota--Minneapolis,http://id.worldcat.org/fast/1204260,Alumni and alumnae;Football,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362,,,,,,,,,,,"Trice, Jack, 1902-1923",,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,1920s,,,2 pages,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,https://n2t.net/ark:/87292/w9261c,JackTrice_25,,,/objects/pdf/21-07-023_Trice_01-08-01.pdf,,iiif,,/objects/small/21-07-023_Trice_01-08-01-01_sm.jpg,/objects/thumbs/21-07-023_Trice_01-08-01-01_th.jpg,,,,,,2013-09-04,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,,,,,,,reformatted digital
jacktrice_002,jacktrice_001,JackTrice_23,Front,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,,JackTrice_23,21-07-023_Trice_01-08-01-01.tif,21-07-023_Trice_01-08-01-01,,image/jpeg,image,/objects/21-07-023_Trice_01-08-01-01.jpg,/objects/small/21-07-023_Trice_01-08-01-01_sm.jpg,/objects/thumbs/21-07-023_Trice_01-08-01-01_th.jpg,,,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.5,,,,RGB,8,,5007,3310,,reformatted digital
jacktrice_003,jacktrice_001,JackTrice_24,Back,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,,JackTrice_24,21-07-023_Trice_01-08-01-02.tif,21-07-023_Trice_01-08-01-02,,image/jpeg,image,/objects/21-07-023_Trice_01-08-01-02.jpg,/objects/small/21-07-023_Trice_01-08-01-02_sm.jpg,/objects/thumbs/21-07-023_Trice_01-08-01-02_th.jpg,,,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.6,,,,RGB,8,,5007,3310,,reformatted digital
jacktrice_004,,JackTrice_30,"Cora Mae Trice Greene letter to David Lendt, August 3, 1988",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Greene, Cora Mae Trice","Greene, Cora Mae Trice",,,,,,,,,,,,"Letters from Cora Mae Trice Greene, Jack Trice's widow (later remarried to Horace Greene), to David Lendt, Director of Information at Iowa State University. In the first letter, Greene thanks Lendt for the information sent to her family regarding the dedication of memorials on campus to Jack Trice. She also shares her memories of the days surrounding Trice's death in 1923. In the second letter, Greene grants permission to place her letters and other documents pertaining to Trice in the archives of the Iowa State University Department of Special Collections.",,,,eng,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903,,,,,,,,,,,"Trice, Jack, 1902-1923;Greene, Cora Mae Trice;Armstrong, Betty;Lendt, David",,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,1920s;1980s,,,4 pages,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,1988-08-03,2013-08-01,,,,https://n2t.net/ark:/87292/w9dc8v,JackTrice_30,,,/objects/pdf/21-07-023_Trice_01-06-02.pdf,,iiif,,/objects/small/21-07-023_Trice_01-06-02-01_sm.jpg,/objects/thumbs/21-07-023_Trice_01-06-02-01_th.jpg,,,,,,2013-09-04,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,,,,,,,,,reformatted digital
jacktrice_005,jacktrice_004,JackTrice_26,Page 1,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,1988-08-03,2013-08-01,,,,,JackTrice_26,21-07-023_Trice_01-06-02-01.tif,21-07-023_Trice_01-06-02-01,,image/jpeg,image,/objects/21-07-023_Trice_01-06-02-01.jpg,/objects/small/21-07-023_Trice_01-06-02-01_sm.jpg,/objects/thumbs/21-07-023_Trice_01-06-02-01_th.jpg,,,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,,,RGB,8,,6342,4486,,reformatted digital
jacktrice_006,jacktrice_004,JackTrice_27,Page 2,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,1988-08-03,2013-08-01,,,,,JackTrice_27,21-07-023_Trice_01-06-02-02.tif,21-07-023_Trice_01-06-02-02,,image/jpeg,image,/objects/21-07-023_Trice_01-06-02-02.jpg,/objects/small/21-07-023_Trice_01-06-02-02_sm.jpg,/objects/thumbs/21-07-023_Trice_01-06-02-02_th.jpg,,,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,,,RGB,8,,6373,4457,,reformatted digital
jacktrice_007,jacktrice_004,JackTrice_28,Page 3,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,1988-08-03,2013-08-01,,,,,JackTrice_28,21-07-023_Trice_01-06-02-03.tif,21-07-023_Trice_01-06-02-03,,image/jpeg,image,/objects/21-07-023_Trice_01-06-02-03.jpg,/objects/small/21-07-023_Trice_01-06-02-03_sm.jpg,/objects/thumbs/21-07-023_Trice_01-06-02-03_th.jpg,,,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,,,RGB,8,,6384,4454,,reformatted digital
jacktrice_008,jacktrice_004,JackTrice_29,"Cora Mae Trice Greene letter to David Lendt, August 24, 1988",,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,1988-08-03,2013-08-01,,,,,JackTrice_29,21-07-023_Trice_01-06-02-04.tif,21-07-023_Trice_01-06-02-04,,image/jpeg,image,/objects/21-07-023_Trice_01-06-02-04.jpg,/objects/small/21-07-023_Trice_01-06-02-04_sm.jpg,/objects/thumbs/21-07-023_Trice_01-06-02-04_th.jpg,,,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,,,RGB,8,,6432,4414,,reformatted digital
jacktrice_009,,JackTrice_31,"Chester L. Brewer letter to Samuel W. Beyer regarding football game at University of Missouri, October 8, 1923",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Brewer, Chester L., 1875-1953","Brewer, Chester L., 1875-1953",,,,,,,,,,,,"Letter written October 8, 1923, by Chester L. Brewer, Director of Athletics at the University of Missouri at Columbia, informing Samuel W. Beyer, a dean at Iowa State and the college's ""godfather"" of athletics, that he would not permit the racially integrated Iowa State team to play football at Missouri.",,,,eng,Missouri,Missouri,http://id.worldcat.org/fast/1204724,Football;Racism in sports,http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1086664,,,,,,,,,,,"Trice, Jack, 1902-1923;Brewer, Chester L., 1875-1953;Beyer, Samuel W.",,Iowa State College;University of Missouri--Columbia,http://id.loc.gov/authorities/names/n82049648;http://id.loc.gov/authorities/names/n80126275,,,1920s,,,1 page,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-08,1923-10-08,2009-04-14,,,,https://n2t.net/ark:/87292/w98p7b,JackTrice_31,21-07-023_Trice_01-24-01.tif,21-07-023_Trice_01-24-01,,image/jpeg,iiif,/objects/21-07-023_Trice_01-24-01.jpg,/objects/small/21-07-023_Trice_01-24-01_sm.jpg,/objects/thumbs/21-07-023_Trice_01-24-01_th.jpg,,,,,,2013-08-26,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,RGB,8,,6470,5022,,reformatted digital
jacktrice_010,,JackTrice_32,Jack Trice,RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,Photograph of Jack Trice in winter.,,,,zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,African Americans;Black people;Alumni and alumnae;College athletes;Football,http://id.worldcat.org/fast/799558;http://id.worldcat.org/fast/833880;http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/867688;http://id.worldcat.org/fast/931362,,,,,,,,,,,"Trice, Jack, 1902-1923",,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,1920s,,,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1920/1929,1920/1929,2009-09-17,,,,https://n2t.net/ark:/87292/w94w5d,JackTrice_32,21-07-A_Trice_1578-01-02.tif,21-07-A_Trice_1578-01-02,,image/jpeg,iiif,/objects/21-07-A_Trice_1578-01-02.jpg,/objects/small/21-07-A_Trice_1578-01-02_sm.jpg,/objects/thumbs/21-07-A_Trice_1578-01-02_th.jpg,,,,,,2013-08-26,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,RGB,8,,5695,4528,,reformatted digital
jacktrice_011,,JackTrice_33,"Memorial to Jack Trice, 1924",RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"Jack Trice memorial tablet in State Gymnasium at Iowa State University, the beginning of which reads: ""In memory of Jack Trice who died October 8, 1923, of injuries received in the Ames-Minnesota football game.""",,,,zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903,State Gymnasium,State Gymnasium,,,,,,,,,"Trice, Jack, 1902-1923",,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,1920s,,,1 photograph,photographs;commemorative plaques,http://vocab.getty.edu/aat/300046300;https://vocab.getty.edu/aat/300411443,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1924,1924,2009-09-17,,,,https://n2t.net/ark:/87292/w9162f,JackTrice_33,21-07-A_Trice_1578-01-03.tif,21-07-A_Trice_1578-01-03,,image/jpeg,iiif,/objects/21-07-A_Trice_1578-01-03.jpg,/objects/small/21-07-A_Trice_1578-01-03_sm.jpg,/objects/thumbs/21-07-A_Trice_1578-01-03_th.jpg,,,,,,2013-08-26,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,RGB,8,,5675,4448,,reformatted digital
jacktrice_012,,JackTrice_34,"Samuel W. Beyer letter to Chester L. Brewer regarding Trice's death, October 10, 1923",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Beyer, Samuel W.","Beyer, Samuel W.",,,,,,,,,,,,"Letter from Samuel W. Beyer, a dean at Iowa State College and the school's so-called ""godfather"" of athletics, informing Chester L. Brewer, athletic director at the University of Missouri, of the death of Jack Trice, the first African American football player for Iowa State. Beyer acknowledges the racial segregation agreement among teams in several states and claims that Iowa State did not plan to have Trice play in the upcoming game against Missouri. Beyer also states that he has enclosed a copy of a letter, known as Trice's ""last letter,"" written the night before the game that caused Trice's fatal injuries.",,,,eng,Missouri,Missouri,http://id.worldcat.org/fast/1204724,Football;Racism in sports,http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1086664,,,,,,,,,,,"Trice, Jack, 1902-1923;Brewer, Chester L., 1875-1953;Beyer, Samuel W.",,Iowa State College;University of Missouri--Columbia,http://id.loc.gov/authorities/names/n82049648;http://id.loc.gov/authorities/names/n80126275,,,1920s,,,1 page,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-10,1923-10-10,2009-04-14,,,,https://n2t.net/ark:/87292/w9wd0h,JackTrice_34,21-07-023_Trice_01-24-02.tif,21-07-023_Trice_01-24-02,,image/jpeg,iiif,/objects/21-07-023_Trice_01-24-02.jpg,/objects/small/21-07-023_Trice_01-24-02_sm.jpg,/objects/thumbs/21-07-023_Trice_01-24-02_th.jpg,,,,,,2013-08-26,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,RGB,8,,6517,5129,,reformatted digital
jacktrice_013,,JackTrice_35,"Jack Trice and teammates, 1923",RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,Trice with his football teammates in 1923.,,,,zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,African Americans;Black people;Alumni and alumnae;College athletes;Football;White people,http://id.worldcat.org/fast/799558;http://id.worldcat.org/fast/833880;http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/867688;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1174816,,,,,,,,,,,"Trice, Jack, 1902-1923",,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,1920s,,,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923,1923,2009-09-17,,,,https://n2t.net/ark:/87292/w9rp7p,JackTrice_35,21-07-A_Trice_1579-01-01.tif,21-07-A_Trice_1579-01-01,,image/jpeg,iiif,/objects/21-07-A_Trice_1579-01-01.jpg,/objects/small/21-07-A_Trice_1579-01-01_sm.jpg,/objects/thumbs/21-07-A_Trice_1579-01-01_th.jpg,,,,,,2013-08-26,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,RGB,8,,2667,3707,,reformatted digital
jacktrice_014,,JackTrice_36,"Jack Trice, 1923",RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"Jack Trice in his football uniform, 1923.",,,,zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,African Americans;Black people;Alumni and alumnae;College athletes;Football,http://id.worldcat.org/fast/799558;http://id.worldcat.org/fast/833880;http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/867688;http://id.worldcat.org/fast/931362,,,,,,,,,,,"Trice, Jack, 1902-1923",,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,1920s,,,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923,1923,2003-06-24,,,,https://n2t.net/ark:/87292/w9mw5r,JackTrice_36,21-07-A_Trice_1579-01-02.tif,21-07-A_Trice_1579-01-02,,image/jpeg,iiif,/objects/21-07-A_Trice_1579-01-02.jpg,/objects/small/21-07-A_Trice_1579-01-02_sm.jpg,/objects/thumbs/21-07-A_Trice_1579-01-02_th.jpg,,,,,,2013-08-26,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,RGB,8,,5693,3787,,reformatted digital
jacktrice_015,,JackTrice_37,"Jack Trice funeral on central campus, October 9, 1923",RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"Funeral services for Jack Trice were held on central campus, October 9, 1923.",,,,zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials;Funeral rites and ceremonies,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903;http://id.worldcat.org/fast/936223,Campanile,Campanile,,,,,,,,,"Trice, Jack, 1902-1923",,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,1920s,,,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-09,1923-10-09,2009-09-17,,,,https://n2t.net/ark:/87292/w9h61d,JackTrice_37,21-07-A_Trice_1578-01-01.tif,21-07-A_Trice_1578-01-01,,image/jpeg,iiif,/objects/21-07-A_Trice_1578-01-01.jpg,/objects/small/21-07-A_Trice_1578-01-01_sm.jpg,/objects/thumbs/21-07-A_Trice_1578-01-01_th.jpg,,,,,,2013-08-26,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,RGB,8,,4527,5595,,reformatted digital
jacktrice_016,,JackTrice_38,"Iowa State football team, 1923",RS 24/06/D,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"The Iowa State football team, 1923. Jack Trice is pictured fourth from left, standing in the back row. The State Gymnasium can be seen in the background.",,,,zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362,State Gymnasium,State Gymnasium,,,,,,,,,"Trice, Jack, 1902-1923",,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,1920s,,,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923,1923,2010-02-24,,,,https://n2t.net/ark:/87292/w9cg8k,JackTrice_38,24-06-D_Football_1864-01-01.tif,24-06-D_Football_1864-01-01,,image/jpeg,iiif,/objects/24-06-D_Football_1864-01-01.jpg,/objects/small/24-06-D_Football_1864-01-01_sm.jpg,/objects/thumbs/24-06-D_Football_1864-01-01_th.jpg,,,,,,2013-08-26,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,RGB,8,,4612,5630,,reformatted digital
